#cycle; #nombre morts; #taux global occupation; #distance global terroriste; #duree evenement
105; 34; 23.0; 19.588451839431375; 55.321
106; 34; 23.0; 19.739499783734434; 55.586
107; 34; 23.0; 19.739499783734434; 56.009
108; 34; 23.0; 42.001934442302606; 56.324
109; 35; 22.666666666666668; 42.001934442302606; 56.76
110; 35; 22.666666666666668; 55.099620029957556; 57.086
111; 35; 22.666666666666668; 55.0827891958073; 57.411
112; 35; 22.666666666666668; 55.0827811081356; 57.754
113; 35; 22.666666666666668; 54.48564458174091; 58.078
114; 35; 22.666666666666668; 54.48564458174091; 58.51
115; 35; 22.666666666666668; 54.91630910440409; 58.82
116; 36; 22.333333333333332; 54.91630910440409; 59.106
117; 36; 22.333333333333332; 54.91630910440409; 59.426
118; 36; 22.333333333333332; 54.91630910440409; 59.694
119; 36; 22.333333333333332; 54.91630910440409; 59.963
120; 36; 22.333333333333332; 54.99800645353423; 60.262
121; 36; 22.333333333333332; 54.99800645353423; 60.635
122; 36; 22.333333333333332; 60.43814698209809; 60.918
123; 36; 22.333333333333332; 60.60282551385726; 61.199
124; 36; 22.333333333333332; 60.76760176692655; 61.485
125; 36; 22.333333333333332; 60.932468746574536; 61.734
126; 36; 22.333333333333332; 61.0974201067398; 62.002
127; 36; 22.333333333333332; 61.26245007690511; 62.275
128; 36; 22.333333333333332; 61.42755339859915; 62.532
129; 36; 22.333333333333332; 61.59272527008509; 62.813
130; 36; 22.333333333333332; 61.757961298036456; 63.054
131; 36; 22.333333333333332; 61.92325745519573; 63.3
132; 36; 22.333333333333332; 61.854524506066326; 63.551
133; 36; 22.333333333333332; 61.32105646053546; 63.814
134; 36; 22.333333333333332; 60.55502024362747; 64.068
135; 36; 22.333333333333332; 59.56423080112152; 64.321
136; 36; 22.333333333333332; 58.35030960258519; 64.551
137; 36; 22.333333333333332; 57.14429241074698; 64.777
138; 36; 22.333333333333332; 55.949149348984804; 65.013
139; 36; 22.333333333333332; 54.76954322664383; 65.232
140; 36; 22.333333333333332; 53.613214304293486; 65.444
141; 36; 22.333333333333332; 51.996857878784745; 65.668
142; 36; 22.333333333333332; 51.19660303227434; 66.062
143; 36; 22.333333333333332; 45.949763711904126; 66.315
144; 36; 22.333333333333332; 45.02607965583085; 66.524
145; 36; 22.333333333333332; 44.430842059653266; 66.717
146; 36; 22.333333333333332; 43.83923032811607; 66.909
147; 36; 22.333333333333332; 43.25389869295001; 67.1
148; 36; 22.333333333333332; 43.01879846704306; 67.305
149; 36; 22.333333333333332; 42.45403303996846; 67.506
150; 37; 22.0; 42.45403303996846; 67.752
151; 37; 22.0; 42.45403303996846; 67.929
152; 37; 22.0; 42.45403303996846; 68.113
153; 37; 22.0; 42.10994827069815; 68.311
154; 37; 22.0; 41.33061243161717; 68.497
155; 37; 22.0; 41.28730648168659; 68.807
156; 37; 22.0; 43.99914418551118; 69.026
157; 38; 21.666666666666668; 43.68547083517259; 69.229
158; 38; 21.666666666666668; 42.990236432860605; 69.451
159; 38; 21.666666666666668; 42.29678442588784; 69.666
160; 38; 21.666666666666668; 41.027521555596884; 69.914
161; 38; 21.666666666666668; 39.56334967218475; 70.129
162; 39; 21.333333333333332; 38.56775830838089; 70.457
163; 39; 21.333333333333332; 38.2108929328291; 70.944
164; 40; 21.0; 27.12801676734334; 71.362
165; 42; 20.333333333333332; 17.114346024599627; 71.509
166; 42; 20.333333333333332; 16.675599997809947; 71.848
167; 42; 20.333333333333332; 23.941716454435905; 72.138
168; 42; 20.333333333333332; 30.752763375491256; 72.38
169; 42; 20.333333333333332; 30.44887341709649; 72.788
170; 42; 20.333333333333332; 45.79980072877289; 73.088
171; 42; 20.333333333333332; 58.711223345802495; 73.283
172; 43; 20.0; 58.669990360761915; 73.459
173; 43; 20.0; 58.40663175926904; 73.612
174; 43; 20.0; 57.50542793070553; 73.782
175; 43; 20.0; 56.39964685480311; 73.953
176; 43; 20.0; 54.65570923174164; 74.118
177; 43; 20.0; 53.955052133655705; 74.302
178; 43; 20.0; 52.23661146597945; 74.545
179; 44; 19.666666666666668; 52.17251599692246; 74.696
180; 44; 19.666666666666668; 50.60932056817456; 74.864
181; 44; 19.666666666666668; 49.48260224836519; 75.017
182; 44; 19.666666666666668; 47.771397476294446; 75.168
183; 44; 19.666666666666668; 46.273616546754; 75.32
184; 44; 19.666666666666668; 44.8036564061452; 75.506
185; 44; 19.666666666666668; 43.65608082450779; 75.638
186; 45; 19.333333333333332; 42.28426931855066; 75.774
187; 46; 19.0; 42.62858952129639; 75.884
188; 46; 19.0; 43.02546004119787; 75.997
189; 46; 19.0; 43.11126973545717; 76.133
190; 46; 19.0; 43.14689062417481; 76.264
191; 46; 19.0; 42.12613737094141; 76.426
192; 46; 19.0; 42.07796654255794; 76.763
193; 47; 18.666666666666668; 39.38856901840935; 76.903
194; 48; 18.333333333333332; 39.0697700165671; 77.038
195; 48; 18.333333333333332; 38.671608514807424; 77.166
196; 48; 18.333333333333332; 38.13493595013285; 77.279
197; 48; 18.333333333333332; 37.2850436851109; 77.417
198; 48; 18.333333333333332; 36.26640018499739; 77.592
199; 48; 18.333333333333332; 37.707403026622536; 78.017
200; 48; 18.333333333333332; 54.98055521295239; 78.161
201; 49; 18.0; 53.89903239925155; 78.304
202; 49; 18.0; 52.27218694747817; 78.428
203; 49; 18.0; 51.88329375861824; 78.814
204; 49; 18.0; 53.79524056742067; 78.969
205; 49; 18.0; 51.41079210338961; 79.111
206; 49; 18.0; 49.674597770144224; 79.286
207; 49; 18.0; 51.178795406583134; 79.426
208; 49; 18.0; 49.19015707748673; 79.636
209; 49; 18.0; 47.21619640964025; 79.78
210; 49; 18.0; 45.25231701458197; 80.016
211; 49; 18.0; 43.61030211740182; 80.293
212; 50; 17.666666666666668; 42.69178635331158; 80.524
213; 50; 17.666666666666668; 49.293375149086835; 80.674
214; 50; 17.666666666666668; 48.7599147173003; 80.939
215; 50; 17.666666666666668; 48.953580361780645; 81.115
216; 50; 17.666666666666668; 47.611478623171415; 81.272
217; 51; 17.333333333333332; 46.85202972931622; 81.479
218; 52; 17.0; 52.75340039576539; 81.703
219; 52; 17.0; 65.97425949132192; 81.882
220; 52; 17.0; 66.48514001308091; 82.02
221; 52; 17.0; 63.84022225508849; 82.175
222; 52; 17.0; 61.180090990328644; 82.392
223; 52; 17.0; 62.447255767996516; 82.578
224; 52; 17.0; 56.979970196865104; 82.731
225; 53; 16.666666666666668; 53.548129590542636; 82.852
226; 53; 16.666666666666668; 52.52722485856268; 83.031
227; 53; 16.666666666666668; 56.44861791739831; 83.327
228; 53; 16.666666666666668; 71.29070152024848; 83.469
229; 53; 16.666666666666668; 69.63274559749976; 83.637
230; 53; 16.666666666666668; 68.2303232976211; 83.826
231; 53; 16.666666666666668; 71.05231296808022; 83.979
232; 54; 16.333333333333332; 71.79069645626326; 84.109
233; 54; 16.333333333333332; 70.64312049730601; 84.284
234; 54; 16.333333333333332; 74.25750231860445; 84.605
235; 54; 16.333333333333332; 89.1717756991189; 84.771
236; 54; 16.333333333333332; 89.07649165432629; 84.958
237; 54; 16.333333333333332; 89.35530364655523; 85.218
238; 54; 16.333333333333332; 94.43225035053761; 85.407
239; 54; 16.333333333333332; 94.23356722730153; 85.573
240; 54; 16.333333333333332; 94.59710333423533; 85.76
241; 54; 16.333333333333332; 94.46488930876053; 86.294
242; 54; 16.333333333333332; 94.46488930876053; 86.702
243; 54; 16.333333333333332; 18.00543215119973; 86.833
244; 54; 16.333333333333332; 16.62380868712131; 86.963
245; 54; 16.333333333333332; 15.25796518055325; 87.145
246; 54; 16.333333333333332; 13.57173463046282; 87.276
247; 54; 16.333333333333332; 12.229793461589574; 87.428
248; 54; 16.333333333333332; 10.943804046640956; 87.581
