#id; #statu; #coord; #cycle; 
68; vivant; {227.48951175905876,16.29987864280359,0.0}; 1
69; paralysé; {257.55807839503876,12.926438944985943,0.0}; 1
70; paralysé; {97.39320076462275,4.795151599710308,0.0}; 1
71; vivant; {134.9488409394863,10.812211835790043,0.0}; 1
72; vivant; {202.78525491998147,17.81214199121504,0.0}; 1
73; vivant; {245.75815165457777,10.689872256525279,0.0}; 1
74; en fuite; {203.79447489263916,19.074554392314123,0.0}; 1
75; vivant; {265.4119186979125,14.829404360349466,0.0}; 1
76; vivant; {71.99426306097828,19.06628058540466,0.0}; 1
77; paralysé; {56.82709884435704,3.6966384727267445,0.0}; 1
78; vivant; {185.25949519507267,5.434143918988701,0.0}; 1
79; vivant; {61.317480473809674,4.318664720135483,0.0}; 1
80; paralysé; {231.46665121287276,18.099454921513473,0.0}; 1
81; vivant; {283.96994688464923,13.036790218967392,0.0}; 1
82; paralysé; {192.5044972337039,13.84105167415834,0.0}; 1
83; vivant; {87.55712565310763,19.187028261151347,0.0}; 1
84; vivant; {293.264510127378,12.532513562300522,0.0}; 1
85; vivant; {62.61565265945249,10.995608672071096,0.0}; 1
86; vivant; {119.28072282423125,11.503729750977072,0.0}; 1
87; paralysé; {207.6199702151099,14.986193215454765,0.0}; 1
88; paralysé; {187.5255941807469,9.888384981182693,0.0}; 1
89; vivant; {289.7405571819157,14.726002487609602,0.0}; 1
90; vivant; {65.73901802726992,17.330543702328974,0.0}; 1
91; vivant; {209.96010419365842,4.635620210146307,0.0}; 1
92; vivant; {165.76210001062373,17.34343519613098,0.0}; 1
93; en fuite; {226.20890362463658,4.178898910778463,0.0}; 1
94; paralysé; {160.5081681854062,7.479296545699286,0.0}; 1
95; paralysé; {238.1003420445111,8.227872032197359,0.0}; 1
96; vivant; {57.47347050638538,10.170876329114257,0.0}; 1
0; en fuite; {108.28882630711485,79.3376324798606,0.0}; 2
1; en fuite; {150.2917873389143,68.25037629369635,0.0}; 2
2; vivant; {127.29930202316875,81.28146363077535,0.0}; 2
3; paralysé; {146.69361104436487,77.05866175916825,0.0}; 2
4; en fuite; {161.04797185705925,68.7755523325106,0.0}; 2
5; vivant; {185.70589131558512,79.95521741768745,0.0}; 2
6; en fuite; {253.75099569251827,75.30824117101643,0.0}; 2
7; en fuite; {259.36508790850246,83.7433258966211,0.0}; 2
8; en fuite; {266.9973594142067,81.63979866843111,0.0}; 2
9; vivant; {238.32095555696745,72.15099490882643,0.0}; 2
10; paralysé; {365.44020857252684,67.12024452187786,0.0}; 2
11; en fuite; {429.47528887014295,69.81209727858156,0.0}; 2
12; vivant; {446.96251566954163,123.50284933224857,0.0}; 2
13; vivant; {439.5636778837777,122.41080113846903,0.0}; 2
14; en fuite; {454.22679297056555,88.930864764671,0.0}; 2
15; vivant; {449.941999596939,72.45532257594131,0.0}; 2
16; vivant; {424.26286003979163,127.08711513307807,0.0}; 2
17; vivant; {332.39452605866774,124.33069093171075,0.0}; 2
18; en fuite; {363.82750856305194,122.74609690479726,0.0}; 2
