#id; #coord; #cycle; 
4; {304.18656916697574,8.5,0.0}; 9
5; {223.5,195.89243837024216,0.0}; 9
0; {54.497848209485724,16.5,0.0}; 10
1; {66.0433023219572,102.5,0.0}; 10
2; {65.99076434293283,97.5,0.0}; 10
3; {65.90126726421023,105.5,0.0}; 10
4; {303.18656916697574,9.5,0.0}; 10
5; {223.5,195.89243837024216,0.0}; 10
0; {54.497848209485724,16.5,0.0}; 11
1; {66.0433023219572,102.5,0.0}; 11
2; {65.99076434293283,97.5,0.0}; 11
3; {65.90126726421023,105.5,0.0}; 11
4; {303.18656916697574,9.5,0.0}; 11
5; {223.5,195.89243837024216,0.0}; 11
0; {54.497848209485724,16.5,0.0}; 12
1; {66.0433023219572,102.5,0.0}; 12
2; {67.99076434293283,97.5,0.0}; 12
3; {67.90126726421023,105.5,0.0}; 12
4; {303.18656916697574,9.5,0.0}; 12
5; {223.5,195.89243837024216,0.0}; 12
0; {54.497848209485724,16.5,0.0}; 13
1; {68.0433023219572,102.5,0.0}; 13
2; {69.99076434293283,97.5,0.0}; 13
3; {67.90126726421023,105.5,0.0}; 13
4; {303.18656916697574,9.5,0.0}; 13
5; {223.5,195.89243837024216,0.0}; 13
0; {54.497848209485724,16.5,0.0}; 14
1; {68.0433023219572,102.5,0.0}; 14
2; {69.99076434293283,97.5,0.0}; 14
3; {67.90126726421023,105.5,0.0}; 14
4; {303.18656916697574,9.5,0.0}; 14
5; {223.5,195.89243837024216,0.0}; 14
0; {54.497848209485724,16.5,0.0}; 15
1; {68.0433023219572,102.5,0.0}; 15
2; {69.99076434293283,97.5,0.0}; 15
3; {67.90126726421023,105.5,0.0}; 15
4; {303.18656916697574,9.5,0.0}; 15
5; {223.5,195.89243837024216,0.0}; 15
0; {54.497848209485724,16.5,0.0}; 16
1; {70.0433023219572,102.5,0.0}; 16
2; {71.99076434293283,97.5,0.0}; 16
3; {67.90126726421023,105.5,0.0}; 16
4; {303.18656916697574,9.5,0.0}; 16
5; {223.5,193.89243837024216,0.0}; 16
0; {54.497848209485724,16.5,0.0}; 17
1; {72.0433023219572,102.5,0.0}; 17
2; {71.99076434293283,97.5,0.0}; 17
3; {67.90126726421023,105.5,0.0}; 17
4; {303.5,11.452031065779963,0.0}; 17
5; {223.5,191.89243837024216,0.0}; 17
0; {54.497848209485724,16.5,0.0}; 18
1; {72.0433023219572,102.5,0.0}; 18
2; {71.99076434293283,97.5,0.0}; 18
3; {67.90126726421023,105.5,0.0}; 18
4; {303.5,11.452031065779963,0.0}; 18
5; {223.5,189.89243837024216,0.0}; 18
0; {54.497848209485724,16.5,0.0}; 19
1; {72.0433023219572,102.5,0.0}; 19
2; {71.99076434293283,97.5,0.0}; 19
3; {67.5,103.57750425397154,0.0}; 19
4; {303.5,11.452031065779963,0.0}; 19
5; {223.5,187.89243837024216,0.0}; 19
0; {54.497848209485724,16.5,0.0}; 20
1; {72.5,100.59935106728001,0.0}; 20
2; {71.99076434293283,97.5,0.0}; 20
3; {67.5,101.57750425397154,0.0}; 20
4; {303.5,11.452031065779963,0.0}; 20
5; {223.5,185.89243837024216,0.0}; 20
0; {54.497848209485724,16.5,0.0}; 21
1; {72.5,98.59935106728001,0.0}; 21
2; {71.99076434293283,97.5,0.0}; 21
3; {67.5,99.57750425397154,0.0}; 21
4; {303.5,11.452031065779963,0.0}; 21
5; {223.5,183.89243837024216,0.0}; 21
0; {54.497848209485724,16.5,0.0}; 22
1; {72.5,96.59935106728001,0.0}; 22
2; {71.99076434293283,97.5,0.0}; 22
3; {67.5,97.57750425397154,0.0}; 22
4; {303.5,11.452031065779963,0.0}; 22
5; {223.5,181.89243837024216,0.0}; 22
0; {54.497848209485724,16.5,0.0}; 23
1; {72.5,94.59935106728001,0.0}; 23
2; {71.5,95.61393430699225,0.0}; 23
3; {67.5,95.57750425397154,0.0}; 23
4; {303.5,11.452031065779963,0.0}; 23
5; {223.5,179.89243837024216,0.0}; 23
0; {54.497848209485724,16.5,0.0}; 24
1; {72.5,92.59935106728001,0.0}; 24
2; {71.5,93.61393430699225,0.0}; 24
3; {67.5,93.57750425397154,0.0}; 24
4; {303.5,13.452031065779963,0.0}; 24
5; {223.5,177.89243837024216,0.0}; 24
0; {54.497848209485724,16.5,0.0}; 25
1; {72.5,90.59935106728001,0.0}; 25
2; {71.5,91.61393430699225,0.0}; 25
3; {67.5,91.57750425397154,0.0}; 25
4; {303.5,13.452031065779963,0.0}; 25
5; {221.57424758526065,177.5,0.0}; 25
0; {54.497848209485724,16.5,0.0}; 26
1; {72.5,88.59935106728001,0.0}; 26
2; {71.5,89.61393430699225,0.0}; 26
3; {67.5,89.57750425397154,0.0}; 26
4; {303.5,13.452031065779963,0.0}; 26
5; {221.5,175.50275256365518,0.0}; 26
0; {54.497848209485724,16.5,0.0}; 27
1; {72.5,86.59935106728001,0.0}; 27
2; {71.5,87.61393430699225,0.0}; 27
3; {67.5,87.57750425397154,0.0}; 27
4; {303.5,13.452031065779963,0.0}; 27
5; {219.50000378829617,175.5,0.0}; 27
0; {54.497848209485724,16.5,0.0}; 28
1; {74.49507680165613,86.5,0.0}; 28
2; {72.38606569300775,86.5,0.0}; 28
3; {68.42249574602846,86.5,0.0}; 28
